Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Japan,J-League,2018,23/02/18,11:00,Sagan Tosu,Kobe,1,1,D,2.93,3.23,2.67,2.94,3.29,2.88,2.75,3.11,2.59
Japan,J-League,2018,24/02/18,05:00,FC Tokyo,Urawa,1,1,D,4.19,3.76,1.93,4.3,3.8,1.98,3.92,3.49,1.89
Japan,J-League,2018,24/02/18,05:00,Hiroshima,Sapporo,1,0,H,2.14,3.49,3.7,2.18,3.49,3.85,2.08,3.25,3.55
Japan,J-League,2018,24/02/18,05:30,G-Osaka,Nagoya,2,3,A,2.15,3.82,3.37,2.16,3.89,3.51,2.05,3.56,3.32
Japan,J-League,2018,24/02/18,07:00,Shonan,V-Varen Nagasaki,2,1,H,2.32,3.15,3.62,2.42,3.25,3.85,2.22,3,3.5
Japan,J-League,2018,25/02/18,04:00,Shimizu,Kashima,0,0,D,4.89,4.18,1.72,5.75,4.24,1.72,4.93,3.87,1.65
Japan,J-League,2018,25/02/18,04:00,Vegalta Sendai,Kashiwa,1,0,H,3.81,3.71,2.03,4.3,3.75,2.05,3.88,3.48,1.91
Japan,J-League,2018,25/02/18,06:30,Iwata,Kawasaki Frontale,0,3,A,3.34,3.56,2.25,3.5,3.56,2.26,3.25,3.33,2.16
Japan,J-League,2018,25/02/18,07:00,C-Osaka,Yokohama M.,1,1,D,1.79,3.77,5.02,1.82,3.8,5.06,1.74,3.55,4.7
Japan,J-League,2018,02/03/18,10:00,C-Osaka,Sapporo,3,3,D,1.7,3.82,5.73,1.74,3.86,5.94,1.67,3.64,5.12
Japan,J-League,2018,02/03/18,10:00,Kawasaki Frontale,Shonan,1,1,D,1.43,4.74,8.81,1.45,4.85,9.1,1.4,4.51,7.52
Japan,J-League,2018,02/03/18,10:30,Kashiwa,Yokohama M.,2,0,H,2.02,3.53,4.04,2.12,3.55,4.04,2.02,3.3,3.71
Japan,J-League,2018,03/03/18,05:00,Nagoya,Iwata,1,0,H,3.1,3.79,2.28,3.2,3.82,2.55,2.87,3.49,2.3
Japan,J-League,2018,03/03/18,06:00,FC Tokyo,Vegalta Sendai,0,1,A,2.21,3.27,3.74,2.22,3.4,3.74,2.14,3.18,3.48
Japan,J-League,2018,03/03/18,07:00,Kashima,G-Osaka,1,0,H,1.58,4.41,6.1,1.68,4.51,6.1,1.56,4.08,5.49
Japan,J-League,2018,03/03/18,07:00,Kobe,Shimizu,2,4,A,2.13,3.43,3.78,2.14,3.59,3.78,2.06,3.34,3.52
Japan,J-League,2018,03/03/18,10:00,V-Varen Nagasaki,Sagan Tosu,2,2,D,2.95,3.08,2.76,3,3.14,2.8,2.82,2.96,2.64
Japan,J-League,2018,04/03/18,07:00,Urawa,Hiroshima,1,2,A,1.75,3.92,4.92,1.75,4.05,5.2,1.68,3.75,4.83
Japan,J-League,2018,10/03/18,04:00,Kawasaki Frontale,G-Osaka,2,0,H,1.51,4.64,6.81,1.62,4.64,7,1.52,4.19,5.86
Japan,J-League,2018,10/03/18,04:00,Yokohama M.,Sagan Tosu,1,2,A,2.42,3.48,3.08,2.54,3.48,3.5,2.37,3.22,2.98
Japan,J-League,2018,10/03/18,05:00,Vegalta Sendai,Kobe,1,1,D,2.44,3.5,3.03,2.71,3.5,3.5,2.43,3.24,2.89
Japan,J-League,2018,10/03/18,05:00,V-Varen Nagasaki,Urawa,1,1,D,5.5,3.95,1.69,5.65,3.95,1.72,5.18,3.66,1.66
Japan,J-League,2018,10/03/18,06:00,Iwata,FC Tokyo,2,0,H,2.66,3.32,2.88,2.72,3.32,2.95,2.56,3.11,2.8
Japan,J-League,2018,10/03/18,06:00,Kashima,Hiroshima,0,1,A,1.89,3.74,4.35,1.95,3.76,4.5,1.84,3.5,4.18
